,id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
0,10681388987133502448,0,14102100,1005,0,ceea3181,6225315b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1f91868c,301d587a,1,0,15704,320,50,1722,0,35,100084,79
1,12102711963076342342,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,51cedd4e,aefc06bd,0f2161f8,a99f214a,63be8ecb,1b8a6145,1,0,19743,320,50,2264,3,427,100000,61
2,13193689682325990370,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,0acbeaa3,45a51db4,f95efa07,a99f214a,83e0d0de,3e72ab6c,1,0,18993,320,50,2161,0,35,-1,157
3,14672957353272584635,1,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,71a7f4aa,c6263d8a,1,0,15701,320,50,1722,0,35,-1,79
4,14822037980641149831,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b3257bea,23823d8b,1,0,15704,320,50,1722,0,35,100084,79
5,15121489590409306127,0,14102100,1005,1,43d6df75,27e3c518,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ddd2926e,3bd9e8e7,1,0,15699,320,50,1722,0,35,-1,79
6,1523335327236166269,0,14102100,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6cde91fc,5ec45883,1,0,19771,320,50,2227,0,687,100074,48
7,1525121579333777223,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,3b495d36,1f0bc64f,1,0,20633,320,50,2374,3,39,-1,23
8,15728177589852023628,0,14102100,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,610c9dc2,1f0bc64f,1,0,6616,320,50,576,2,35,-1,32
9,1648741423893397462,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3fbbdda7,c6263d8a,1,0,15699,320,50,1722,0,35,-1,79
10,17002733328346601958,0,14102100,1005,1,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,66aa6c65,3e7932d7,1,0,19772,320,50,2227,0,687,100075,48
11,17957913706977579374,0,14102100,1005,0,2a68aa20,9b851bd8,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,c3f84c9f,d787e91b,1,0,17914,320,50,2043,2,39,100084,32
12,2123501894617831489,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6b9769f2,4ea23a13,1,0,15706,320,50,1722,0,35,-1,79
13,2594003548525963420,0,14102100,1005,0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ba0809a9,0153a639,1,0,16859,320,50,1887,3,39,-1,23
